Zip3,StateCode,CountyID,CountyName,Latitude,LocationConfidence,Longitude,Rent50_2,pop2000
005xx,NY,103,Suffolk,40.8154,1,-73.0451,1801,1419369
010xx,MA,13,Hampden,42.26446857,0.428571429,-72.57194429,910,456228
011xx,MA,13,Hampden,42.12444545,1,-72.57087727,910,456228
012xx,MA,3,Berkshire,42.34788649,0.972972973,-73.22788378,881,134953
013xx,MA,11,Franklin,42.59362258,0.870967742,-72.57607419,897,71535
014xx,MA,27,Worcester County,42.58500385,0.576923077,-71.77028846,960,750963
015xx,MA,27,Worcester County,42.21451373,0.980392157,-71.82828235,960,750963
016xx,MA,27,Worcester County,42.27934706,1,-71.82761176,960,750963
017xx,MA,17,Middlesex County,42.35236774,0.806451613,-71.4539,1486,1465396
018xx,MA,17,Middlesex County,42.62648478,0.630434783,-71.19851304,1486,1465396
019xx,MA,9,Essex,42.60451579,1,-70.89286053,1486,723419
020xx,MA,21,Norfolk,42.15231053,0.552631579,-71.04393158,1486,650308
021xx,MA,25,Suffolk County,42.3342129,0.580645161,-71.06656935,1486,689807
022xx,MA,25,Suffolk County,42.34929,0.85,-71.02418,1486,689807
023xx,MA,23,Plymouth County,42.01319778,0.844444444,-70.88738444,1236,472822
024xx,MA,17,Middlesex County,42.35549444,0.777777778,-71.21170278,1486,1465396
025xx,MA,1,Barnstable,41.57975714,0.535714286,-70.54614643,1321,222230
026xx,MA,1,Barnstable,41.7286875,1,-70.17262,1321,222230
027xx,MA,5,Bristol,41.75785,0.886363636,-71.08069773,980,534678
028xx,RI,7,Providence,41.67425072,0.362318841,-71.52356087,980,621602
029xx,RI,7,Providence,41.81903333,1,-71.43084762,980,621602
030xx,NH,11,Hillsborough,42.88151316,0.605263158,-71.48298684,1071,380841
031xx,NH,11,Hillsborough,42.99203,0.9,-71.45928,1071,380841
032xx,NH,13,Merrimack County,43.51602031,0.328125,-71.64827656,1047,136225
033xx,NH,13,Merrimack County,43.247,1,-71.56318333,1047,136225
034xx,NH,5,Cheshire,42.9143,0.821428571,-72.20280714,1000,73825
